Container_ID,Weight_kg,Radiation_Level,Origin_Planet,Packaging_Type,Is_Contraband
10059,88.7,2.7034734224947634,Earth,Plastic Wrap,0
10060,108.4,6.637555287509722,Kepler-452b,Lead Container,1
10061,73.3,8.075863836825105,Earth,Standard Box,0
10062,362.9,2.7549103875111722,Mars,Cryo-Chamber,0
10063,98.2,3.164994357971473,Mars,Cryo-Chamber,0
10064,76.0,7.035322933687005,Mars,Plastic Wrap,0
10065,166.5,5.542990621651296,Earth,Standard Box,0
10066,40.4,6.1029525504790465,Earth,Cryo-Chamber,0
10067,334.1,5.681178432800993,Kepler-452b,Lead Container,1
10068,25.5,5.781391841856288,Kepler-452b,Plastic Wrap,0
10069,876.8,2.347055743377834,Jupiter-Moon,Lead Container,0
10070,305.9,7.094635413242896,Earth,Plastic Wrap,0
10071,54.3,7.339179984855547,Mars,Cryo-Chamber,0
10072,11.1,4.541218511863945,Jupiter-Moon,Plastic Wrap,1
10073,348.0,4.913046100372275,Earth,Standard Box,0
10074,255.4,1.9377849948885557,Kepler-452b,Lead Container,1
10075,271.1,6.0285095120356695,Jupiter-Moon,Standard Box,0
10076,305.0,6.144114883428288,Earth,Lead Container,0
10077,25.4,4.875617966001378,Kepler-452b,Lead Container,1
10078,98.8,7.248706719741005,Unknown,Plastic Wrap,0
10079,34.6,4.331845538040119,Earth,Cryo-Chamber,0
10080,407.7,6.1292118517872005,Mars,Cryo-Chamber,0
10081,205.3,2.960671322615769,Mars,Standard Box,0
10082,90.4,4.952895698251524,Mars,Plastic Wrap,0
10083,23.1,4.651291484194329,Earth,Cryo-Chamber,0
10084,84.5,5.4506158440818835,Mars,Lead Container,0
10085,88.7,4.260946142333283,Unknown,Lead Container,0
10086,271.6,4.737054808656664,Mars,Plastic Wrap,0
10087,213.0,6.652094342883013,Earth,Standard Box,0
10088,446.5,4.126471525523565,Jupiter-Moon,Plastic Wrap,0
10089,137.8,1.7868457985226414,Mars,,0
10090,,8.499167808410842,Kepler-452b,Plastic Wrap,0
10091,259.8,7.7629081573809735,Mars,,0
10092,296.1,2.4154746097887627,Earth,Plastic Wrap,0
10093,,6.379415610490389,Earth,Cryo-Chamber,0
10094,304.8,3.9940504588973136,Jupiter-Moon,Cryo-Chamber,0
10095,146.2,5.526974430662119,Earth,Plastic Wrap,0
10096,157.9,5.588448258026988,Jupiter-Moon,Standard Box,0
10097,121.6,4.531184399367356,Earth,Standard Box,0
10098,15.1,3.432468668827207,Mars,Lead Container,0
10099,32.8,3.618917895367481,Mars,,0
10100,,3.1676161690375153,Kepler-452b,,0
10101,212.3,3.3363555835391105,Kepler-452b,Plastic Wrap,0
10102,85.5,4.865643419901289,Earth,Lead Container,0
10103,,3.5684800217784964,Mars,Standard Box,0
10104,486.3,6.36410413142524,Earth,,0
10105,67.3,7.974492310671854,Mars,Plastic Wrap,0
10106,115.7,3.839893517259914,Mars,Cryo-Chamber,0
10107,291.7,5.478809001070754,Kepler-452b,Standard Box,0
10108,62.0,5.999370220605868,Kepler-452b,Lead Container,1
10109,26.0,5.944004541838549,Mars,Plastic Wrap,0
10110,78.4,5.151910535832175,Mars,Plastic Wrap,0
10111,45.2,6.4853648367194445,Kepler-452b,Plastic Wrap,0
10112,541.0,5.9644979053613145,Kepler-452b,Cryo-Chamber,0
10113,340.2,2.5246751553454043,Earth,Cryo-Chamber,0
10114,210.7,6.738312128778547,Mars,Lead Container,0
10115,420.3,6.774581674533485,Mars,Lead Container,0
10116,335.6,3.4734277916428367,Earth,Plastic Wrap,0
10117,51.3,5.075875670895204,Earth,Lead Container,0
10118,456.2,6.366657985622139,Earth,Standard Box,0
10119,165.0,4.581372360841277,Jupiter-Moon,Cryo-Chamber,0
10120,339.5,7.145956095532023,Earth,Plastic Wrap,0
10121,462.8,9.727744989238722,Earth,Plastic Wrap,0
10122,86.5,3.4280279347300353,Earth,Standard Box,0
10123,33.3,2.2379107936924503,Kepler-452b,Standard Box,0
10124,61.7,5.607637191209752,Kepler-452b,Standard Box,0
10125,121.4,6.443125010252287,Mars,Standard Box,0
10126,350.8,4.538267252310462,Mars,Plastic Wrap,0
10127,404.3,7.906521326642069,Unknown,Cryo-Chamber,0
10128,11.4,2.3227884005535024,Earth,,0
10129,153.0,6.385837246063222,Earth,,0
10130,118.1,3.7882783584822133,Earth,Lead Container,0
10131,60.2,8.438755812414593,Earth,Plastic Wrap,0
10132,35.5,8.985030706336236,Mars,Cryo-Chamber,0
10133,92.4,3.466686824433304,Kepler-452b,Standard Box,0
10134,582.6,3.90088572818284,Jupiter-Moon,Lead Container,0
10135,88.1,6.719175773959604,Mars,Lead Container,0
10136,156.3,4.225738700420971,Kepler-452b,Standard Box,0
10137,252.8,4.909177564135524,Earth,Plastic Wrap,0
10138,100.4,5.05077684108482,Earth,Cryo-Chamber,0
10139,723.6,1.1606536876046873,Mars,Lead Container,0
10140,666.4,4.972324507811526,Jupiter-Moon,Cryo-Chamber,0
10141,68.0,3.6205444518716523,Earth,Cryo-Chamber,0
10142,147.5,4.013754355200456,Mars,Lead Container,0
10143,,7.887264006937628,Jupiter-Moon,Standard Box,0
10144,77.0,2.4869862114414873,Jupiter-Moon,Lead Container,0
10145,17.5,6.626410373495954,Jupiter-Moon,Lead Container,1
10146,198.1,4.442074139336383,Mars,Plastic Wrap,0
10147,149.7,4.440479663008331,Earth,,0
10148,20.6,6.580743792103423,Mars,Standard Box,0
10149,75.3,5.680102589137781,Earth,Cryo-Chamber,0
10150,487.8,6.141225994439062,Kepler-452b,Lead Container,1
10151,64.8,6.9363693210657225,Mars,Standard Box,0
10152,41.3,4.337383233633354,Mars,Standard Box,0
10153,144.5,3.775526530984499,Jupiter-Moon,,0
10154,858.8,2.829698946884404,Mars,Standard Box,0
10155,65.4,3.3491789400420897,Mars,Plastic Wrap,0
10156,233.0,10.898188850617451,Kepler-452b,Standard Box,0
10157,296.8,7.4893591614735735,Kepler-452b,Lead Container,1
10158,64.3,2.2978512675839573,Jupiter-Moon,,0
10159,,2.3550840865128597,Earth,Lead Container,0
10160,101.7,5.963732123436983,Mars,Lead Container,0
10161,210.1,6.094529594755934,Jupiter-Moon,Cryo-Chamber,0
10162,210.8,6.097767670634729,Earth,Standard Box,0
10163,163.5,4.490088412892605,Earth,Standard Box,0
10164,28.9,4.7490914799942,Kepler-452b,Lead Container,1
10165,370.7,5.655759048318715,Earth,Standard Box,0
10166,87.4,5.171786012586661,Jupiter-Moon,Plastic Wrap,0
10167,51.3,0.5613992545049298,Mars,Cryo-Chamber,0
10168,18.3,4.540400738849613,Mars,Standard Box,0
10169,188.8,3.297187131479373,Earth,Standard Box,0
10170,236.4,5.350422837817024,Kepler-452b,,0
10171,13.3,10.97051800520682,Mars,,0
10172,153.5,5.7349633309486086,Mars,Plastic Wrap,0
10173,61.4,4.372940627655204,Jupiter-Moon,Lead Container,0
10174,217.2,6.843603003954504,Jupiter-Moon,Lead Container,0
10175,48.3,5.965375774418425,Unknown,Standard Box,0
10176,244.8,5.840188980903682,Mars,Cryo-Chamber,0
10177,107.8,6.213701186431342,Mars,Lead Container,0
10178,562.1,9.113087129659082,Unknown,Plastic Wrap,0
10179,39.6,2.7382231293481687,Jupiter-Moon,Lead Container,0
10180,93.4,5.947264153622909,Earth,Lead Container,0
10181,34.1,3.147237740036923,Earth,Plastic Wrap,0
10182,527.2,6.111025292684497,Kepler-452b,Standard Box,0
10183,429.7,3.162626977027811,Mars,Cryo-Chamber,0
10184,69.7,4.165266372789831,Jupiter-Moon,Standard Box,0
10185,225.8,4.409820171524188,Mars,Plastic Wrap,0
10186,349.9,6.951633438689418,Earth,Lead Container,0
10187,172.0,6.836908887884828,Jupiter-Moon,Cryo-Chamber,0
10188,160.9,2.508565247107231,Earth,Standard Box,0
10189,,5.109868221999697,Mars,Plastic Wrap,0
10190,29.5,3.580840290501655,Mars,Lead Container,0
10191,465.0,2.482990178649331,Mars,Lead Container,0
10192,471.4,4.5659658991512595,Jupiter-Moon,Standard Box,0
10193,210.5,4.38303442308836,Kepler-452b,Plastic Wrap,0
10194,92.8,9.853432972691046,Jupiter-Moon,Lead Container,0
10195,,5.865919650721392,Earth,Lead Container,0
10196,268.9,2.2447649984915254,Earth,Cryo-Chamber,0
10197,464.8,3.8704519916581157,Mars,Lead Container,0
10198,446.2,7.042766590858797,Kepler-452b,Standard Box,0
10199,312.7,9.17688554573985,Kepler-452b,Plastic Wrap,0
10200,215.5,1.8280333755240834,Kepler-452b,Plastic Wrap,0
10201,27.6,1.24015122972191,Mars,Cryo-Chamber,0
10202,45.3,8.741930350743564,Mars,Plastic Wrap,0
10203,467.6,5.779228354741807,Mars,Standard Box,0
10204,196.5,3.263414536247267,Earth,Lead Container,0
10205,11.8,6.06925817224487,Earth,,0
10206,31.4,0.0,Kepler-452b,Plastic Wrap,0
10207,227.8,5.006751013194322,Earth,Cryo-Chamber,0
10208,11.0,5.655642345686171,Earth,Cryo-Chamber,0
10209,45.1,6.848540279075659,Earth,Plastic Wrap,0
10210,,2.9722080954149246,Kepler-452b,Cryo-Chamber,0
10211,245.5,20.17137432280672,Mars,Plastic Wrap,1
10212,221.1,3.1491507478808254,Jupiter-Moon,Standard Box,0
10213,60.8,5.510767511348634,Kepler-452b,Plastic Wrap,0
10214,259.1,3.2093073552739515,Mars,Lead Container,0
10215,64.2,4.183798321679559,Jupiter-Moon,Plastic Wrap,0
10216,88.7,3.008369210419542,Earth,Lead Container,0
10217,284.5,6.3022724836473145,Earth,Cryo-Chamber,0
10218,219.8,6.716902233313331,Kepler-452b,Plastic Wrap,0
10219,388.4,4.5307588600851725,Jupiter-Moon,Lead Container,0
10220,224.4,5.076475989920056,Mars,,0
10221,178.0,2.1028171707329117,Mars,Plastic Wrap,0
10222,29.7,4.400646703986426,Mars,Plastic Wrap,0
10223,101.7,4.8995907659165105,Earth,Standard Box,0
10224,71.6,10.241586182059951,Earth,Lead Container,0
10225,65.9,2.7760659484516728,Earth,Standard Box,0
10226,732.5,7.928354477504875,Earth,Standard Box,0
10227,109.9,6.993717546931616,Kepler-452b,Lead Container,1
10228,455.2,5.561272808980273,Earth,Plastic Wrap,0
10229,209.5,8.517240968390267,Earth,Standard Box,0
10230,326.8,5.744210945213726,Mars,Standard Box,0
10231,149.7,5.778318391335858,Kepler-452b,Standard Box,0
10232,182.0,19.89375869396491,Earth,Plastic Wrap,1
10233,145.7,7.4471377648372545,Earth,Standard Box,0
10234,53.4,7.192938467621767,Mars,,0
10235,266.4,3.748645425007575,Jupiter-Moon,,0
10236,75.9,2.3615056108024652,Mars,Cryo-Chamber,0
10237,14.9,4.594038725208685,Kepler-452b,Plastic Wrap,0
10238,217.4,3.399922871204707,Unknown,Standard Box,0
10239,49.0,4.87295085076929,Jupiter-Moon,Lead Container,0
10240,574.2,7.474876269368279,Jupiter-Moon,Standard Box,0
10241,625.5,4.08539668982642,Mars,Plastic Wrap,0
10242,502.7,4.91435323737685,Earth,Lead Container,0
10243,102.5,5.1160454696167905,Unknown,Cryo-Chamber,0
10244,13.1,6.696861764410569,Mars,Lead Container,0
10245,537.1,0.5062213320307896,Earth,Standard Box,0
10246,121.8,3.7865994104694067,Jupiter-Moon,Lead Container,0
10247,690.2,5.4225673845589455,Earth,Plastic Wrap,0
10248,672.7,7.4001579128537225,Mars,Plastic Wrap,0
10249,393.5,4.01619510498759,Mars,,0
10250,79.8,1.2468945879162519,Mars,Plastic Wrap,0
10251,,6.239422891932272,Kepler-452b,Plastic Wrap,0
10252,390.9,3.7292752223487415,Earth,Plastic Wrap,0
10253,86.2,2.6206666818192774,Mars,Cryo-Chamber,0
10254,47.1,3.751309220573552,Mars,Standard Box,0
10255,172.7,4.630949284688301,Jupiter-Moon,Plastic Wrap,0
10256,560.3,3.7905106709235747,Jupiter-Moon,Lead Container,0
10257,,0.5888678858018617,Mars,Plastic Wrap,0
10258,178.8,6.794132393774264,Jupiter-Moon,Cryo-Chamber,0
10259,30.4,7.549750082557445,Earth,,0
10260,200.9,6.303043982679012,Kepler-452b,Standard Box,0
10261,932.1,2.724628659150367,Mars,Lead Container,0
10262,40.2,4.597016932104964,Jupiter-Moon,Lead Container,0
10263,156.1,4.986957369541084,Earth,Lead Container,0
10264,429.7,6.19758877912382,Earth,Lead Container,0
10265,280.0,6.336680977436162,Mars,Plastic Wrap,0
10266,248.8,3.5316524024430085,Kepler-452b,Standard Box,0
10267,252.5,5.163991112827121,Mars,Plastic Wrap,0
10268,99.1,5.914560809230482,Kepler-452b,Cryo-Chamber,0
10269,79.5,7.911644644293533,Mars,Cryo-Chamber,0
10270,341.5,6.409013079649446,Mars,Lead Container,0
10271,342.3,6.578113374751037,Earth,Plastic Wrap,0
10272,413.6,5.167653255858722,Kepler-452b,Plastic Wrap,0
10273,,7.820918290407008,Earth,Standard Box,0
10274,153.2,5.819525591918994,Kepler-452b,Standard Box,0
10275,149.2,3.277824179652859,Kepler-452b,Standard Box,0
10276,330.2,7.806739940250381,Kepler-452b,Plastic Wrap,0
10277,219.9,6.395806545078055,Mars,Standard Box,0
10278,252.1,4.113911957743035,Jupiter-Moon,,0
10279,327.7,4.041014065201513,Jupiter-Moon,Standard Box,0
10280,451.5,5.593151090281523,Earth,Lead Container,0
10281,92.5,5.926369590535169,Jupiter-Moon,Cryo-Chamber,0
10282,104.2,20.394584531262414,Earth,,1
10283,29.7,5.62261734688577,Mars,Plastic Wrap,0
10284,182.7,8.39991474915276,Earth,Plastic Wrap,0
10285,17.3,7.143086304469771,Earth,Lead Container,0
10286,135.3,5.381271182530049,Mars,Cryo-Chamber,0
10287,166.5,21.882621161534967,Mars,,1
10288,77.5,2.934952192944921,Jupiter-Moon,Standard Box,0
10289,188.7,5.795854099893618,Earth,Plastic Wrap,0
10290,16.2,8.61861269946622,Mars,Cryo-Chamber,0
10291,17.6,4.563908209215253,Earth,Plastic Wrap,0
10292,355.9,3.3047321427618304,Mars,Plastic Wrap,0
10293,99.3,3.6958222228138786,Jupiter-Moon,Standard Box,0
10294,37.2,2.8207339253152233,Mars,Standard Box,0
10295,,3.4304761837445934,Jupiter-Moon,Cryo-Chamber,0
10296,303.9,4.258983802819942,Mars,Plastic Wrap,0
10297,58.6,2.188865961642716,Jupiter-Moon,Lead Container,0
10298,205.0,5.031236667899206,Mars,Cryo-Chamber,0
10299,27.8,6.804554347573294,Mars,Plastic Wrap,0
10300,20.6,3.184487639706159,Jupiter-Moon,Cryo-Chamber,0
10301,161.6,23.038567847283538,Earth,Cryo-Chamber,1
10302,165.6,6.021584177055189,Jupiter-Moon,Cryo-Chamber,0
10303,212.9,7.061161171248115,Jupiter-Moon,Lead Container,0
10304,269.0,3.684330892295726,Mars,Lead Container,0
10305,754.7,6.709050454133232,Earth,Standard Box,0
10306,155.3,2.816132199209374,Earth,Standard Box,0
10307,88.0,6.780495001673017,Kepler-452b,Plastic Wrap,0
10308,327.1,5.343678679587063,Jupiter-Moon,Cryo-Chamber,0
10309,73.2,6.106502439969567,Earth,Plastic Wrap,0
10310,125.6,2.6488107887502967,Mars,Standard Box,0
10311,26.3,3.2098603154467904,Mars,Lead Container,0
10312,15.1,6.194456436506769,Kepler-452b,Standard Box,0
10313,667.5,3.1033039915515985,Earth,Plastic Wrap,0
10314,371.6,5.926412584198246,Earth,Standard Box,0
10315,,2.2657243870795085,Kepler-452b,Plastic Wrap,0
10316,115.2,21.696348425333337,Earth,Plastic Wrap,1
10317,48.1,2.534953370462982,Earth,,0
10318,44.0,6.104599875359046,Unknown,Plastic Wrap,0
10319,67.6,6.251261867292001,Jupiter-Moon,Standard Box,0
10320,169.4,3.6064563631408504,Earth,Plastic Wrap,0
10321,260.8,6.164053134169453,Earth,Plastic Wrap,0
10322,,5.520884526667112,Earth,Cryo-Chamber,0
10323,75.7,3.9223162876145237,Earth,Plastic Wrap,0
10324,629.6,2.982890631847584,Kepler-452b,Standard Box,0
10325,277.8,1.074748616654842,Mars,Plastic Wrap,0
10326,171.6,5.699300094599387,Jupiter-Moon,Lead Container,0
10327,199.2,1.8703944572758897,Kepler-452b,Lead Container,1
10328,118.8,5.1906883988826165,Mars,Plastic Wrap,0
10329,66.9,4.473103567835501,Earth,Lead Container,0
10330,98.0,6.358285550876391,Mars,Lead Container,0
10331,,19.39590900102027,Kepler-452b,Standard Box,1
10332,,4.341104427305817,Kepler-452b,Cryo-Chamber,0
10333,34.7,6.463741408576591,Earth,Lead Container,0
10334,19.4,5.670116058168235,Jupiter-Moon,Lead Container,1
10335,18.3,5.632311914365556,Mars,Cryo-Chamber,0
10336,,5.938535179617053,Kepler-452b,Cryo-Chamber,0
10337,,1.9288557535857884,Earth,,0
10338,138.6,6.513577359973964,Mars,Plastic Wrap,0
10339,30.6,6.224937588027204,Kepler-452b,Lead Container,1
10340,145.3,2.9666337428470055,Mars,Plastic Wrap,0
10341,138.3,4.511839052651597,Mars,Plastic Wrap,0
10342,48.0,4.921385424744738,Earth,Plastic Wrap,0
10343,123.8,4.731006431196534,Earth,Cryo-Chamber,0
10344,111.7,5.66771993313707,Mars,,0
10345,201.3,7.862733563662367,Kepler-452b,Lead Container,1
10346,211.6,7.163533455345657,Earth,Standard Box,0
10347,19.3,2.3755616131371875,Mars,Cryo-Chamber,0
10348,103.9,6.244139980612097,Jupiter-Moon,Standard Box,0
10349,206.6,7.65786663907082,Earth,Standard Box,0
10350,,5.773617041378405,Mars,Plastic Wrap,0
10351,398.3,7.181960850371934,Jupiter-Moon,Cryo-Chamber,0
10352,225.0,9.02454089140153,Kepler-452b,,0
10353,45.6,7.047419092213962,Jupiter-Moon,Lead Container,0
10354,24.6,5.498617191283458,Jupiter-Moon,Standard Box,0
10355,215.7,7.090176948169507,Earth,Cryo-Chamber,0
10356,15.4,5.2897756661937825,Kepler-452b,,1
10357,186.3,5.047806086569911,Earth,Lead Container,0
10358,573.5,4.297171528572535,Jupiter-Moon,Lead Container,0
10359,181.4,23.126826717664215,Earth,Plastic Wrap,1
10360,108.3,18.363142668115998,Kepler-452b,Lead Container,1
10361,216.2,8.064735449356231,Jupiter-Moon,,0
10362,132.6,5.999728247480743,Jupiter-Moon,Plastic Wrap,0
10363,167.8,2.201387650396117,Earth,Standard Box,0
10364,577.6,5.735298585982843,Mars,Standard Box,0
10365,107.6,0.799946984696752,Jupiter-Moon,Lead Container,0
10366,659.8,6.251016033662071,Jupiter-Moon,Cryo-Chamber,0
10367,481.5,6.770462965977982,Earth,Lead Container,0
10368,53.6,3.815288088695893,Unknown,Standard Box,0
10369,24.4,5.247095391911165,Kepler-452b,,1
10370,31.2,8.908314867500572,Earth,Standard Box,0
10371,13.7,3.988506591476127,Kepler-452b,,1
10372,29.8,2.882184825886799,Mars,Cryo-Chamber,0
10373,239.8,7.963326804925197,Mars,Lead Container,0
10374,24.8,8.92517438106159,Mars,Cryo-Chamber,0
10375,86.8,5.007391343695694,Mars,Cryo-Chamber,0
10376,382.7,7.0229260708167125,Jupiter-Moon,Lead Container,0
10377,14.7,7.682951831061763,Mars,,0
10378,346.9,3.515031534923232,Jupiter-Moon,Cryo-Chamber,0
10379,76.2,4.029388329264263,Jupiter-Moon,Standard Box,0
10380,35.2,7.4617490263094695,Jupiter-Moon,Standard Box,0
10381,248.6,8.370028557417019,Earth,Cryo-Chamber,0
10382,208.3,6.125761720348709,Kepler-452b,Plastic Wrap,0
10383,429.9,3.240371292995891,Mars,Lead Container,0
10384,275.7,8.974122223398883,Earth,Cryo-Chamber,0
10385,335.4,3.938058204376071,Earth,Lead Container,0
10386,76.3,4.329724437657097,Mars,Standard Box,0
10387,49.1,5.684675668979243,Kepler-452b,Lead Container,1
10388,287.8,8.10832084142955,Mars,Cryo-Chamber,0
10389,338.8,6.707951953104447,Jupiter-Moon,Cryo-Chamber,0
10390,941.4,5.829731000723821,Earth,Cryo-Chamber,0
10391,116.4,5.9265770602362124,Mars,Cryo-Chamber,0
10392,103.0,5.087029337286932,Unknown,Plastic Wrap,0
10393,309.6,6.116279029037012,Jupiter-Moon,Plastic Wrap,0
10394,93.3,0.0,Earth,Plastic Wrap,0
10395,544.0,4.406785081860403,Mars,Cryo-Chamber,0
10396,401.0,5.482643869833562,Earth,Plastic Wrap,0
10397,122.1,2.697971832760986,Mars,Lead Container,0
10398,288.0,5.77264663562312,Jupiter-Moon,Cryo-Chamber,0
10399,290.9,4.591057558027757,Jupiter-Moon,Standard Box,0
10400,31.8,8.510951396630979,Earth,Cryo-Chamber,0
10401,475.7,8.146039450429713,Kepler-452b,Lead Container,1
10402,150.7,4.068388861763674,Mars,Plastic Wrap,0
10403,360.3,4.698324576866609,Mars,Cryo-Chamber,0
10404,87.1,4.852104868783215,Mars,Plastic Wrap,0
10405,461.8,4.096681047680755,Jupiter-Moon,Cryo-Chamber,0
10406,108.6,5.390049968056253,Mars,Lead Container,0
10407,12.2,3.4834358622248196,Mars,Cryo-Chamber,0
10408,481.6,2.7387693301249474,Mars,,0
10409,29.1,6.245422447800538,Earth,Plastic Wrap,0
10410,86.9,6.259059168443621,Kepler-452b,Lead Container,1
10411,609.4,3.3913684806800153,Mars,Cryo-Chamber,0
10412,611.6,6.790710861525199,Earth,Standard Box,0
10413,180.4,3.7368445416693374,Jupiter-Moon,Cryo-Chamber,0
10414,209.8,5.506330476075963,Kepler-452b,Lead Container,1
10415,129.0,6.640688025224912,Kepler-452b,Standard Box,0
10416,79.4,4.932774870592574,Mars,Lead Container,0
10417,,5.909481824282269,Earth,Cryo-Chamber,0
10418,233.3,3.9671407122248565,Mars,Standard Box,0
10419,289.2,4.607066833143806,Earth,Lead Container,0
10420,323.6,4.588281138239319,Kepler-452b,Plastic Wrap,0
10421,321.8,3.506843306919522,Earth,Standard Box,0
10422,29.1,4.646451673768436,Earth,Standard Box,0
10423,146.4,1.9027634022725066,Mars,Lead Container,0
10424,21.9,4.01769250571579,Mars,Plastic Wrap,0
10425,169.5,4.430249013260658,Jupiter-Moon,Standard Box,0
10426,126.5,4.48764049500924,Mars,Lead Container,0
10427,447.3,4.517005108258442,Earth,Standard Box,0
10428,96.4,4.876471600279742,Earth,Standard Box,0
10429,34.9,5.958883036172128,Mars,Standard Box,0
10430,40.9,6.749034148265045,Earth,Plastic Wrap,0
10431,296.7,3.7004695463034656,Jupiter-Moon,Cryo-Chamber,0
10432,202.6,2.593598289221711,Mars,Cryo-Chamber,0
10433,31.3,2.915911175513794,Jupiter-Moon,Plastic Wrap,0
10434,27.6,4.025594157610145,Kepler-452b,Plastic Wrap,0
10435,251.4,4.296157364366982,Kepler-452b,Lead Container,1
10436,25.1,3.4600078676050856,Kepler-452b,Standard Box,0
10437,355.0,2.407766671500211,Earth,Plastic Wrap,0
10438,255.0,4.087758345051624,Earth,Lead Container,0
10439,27.0,5.362853240227943,Mars,Cryo-Chamber,0
10440,27.7,6.190058931671129,Kepler-452b,Cryo-Chamber,0
10441,,3.8851538937833574,Unknown,Cryo-Chamber,0
10442,103.8,4.174004355713132,Kepler-452b,Cryo-Chamber,0
10443,102.6,3.1466033823053783,Earth,,0
10444,,4.937121659250447,Kepler-452b,Standard Box,0
10445,598.4,3.3031427316183706,Mars,Lead Container,0
10446,863.8,6.1462556264824,Earth,Standard Box,0
10447,290.0,1.4282670161317776,Mars,Cryo-Chamber,0
10448,104.4,4.280740655095075,Earth,Plastic Wrap,0
10449,27.4,5.6022146783834845,Mars,Plastic Wrap,0
10450,310.2,5.367669032645009,Mars,Plastic Wrap,0
10451,173.5,10.386067327960994,Mars,Standard Box,0
10452,120.4,5.699600049135815,Jupiter-Moon,Cryo-Chamber,0
10453,483.6,2.9918908063159795,Kepler-452b,Lead Container,1
10454,33.6,4.809071505821854,Jupiter-Moon,Plastic Wrap,0
10455,145.7,1.4475073330670964,Mars,Standard Box,0
10456,12.3,4.838800501406478,Kepler-452b,Plastic Wrap,0
10457,136.5,3.3338878859984824,Kepler-452b,Lead Container,1
10458,21.6,6.8307805511203235,Earth,Cryo-Chamber,0
10459,35.3,3.90091945080893,Mars,Lead Container,0
10460,35.0,4.7664681684095065,Earth,Cryo-Chamber,0
10461,219.5,3.728884317191193,Earth,Cryo-Chamber,0
10462,284.1,8.477702703706662,Jupiter-Moon,Cryo-Chamber,0
