Age,Annual_Income,Total_Debt,FICO_Score,Education,Employment,Max_Loan_Amount,Loan_Default
44.0,93900.0,46677.021463657875,595,Master,Employed,99200.0,0
52.0,145000.0,62017.601639903085,710,Bachelor,Employed,207900.0,0
18.0,29900.0,12498.710299175269,699,Bachelor,Retired,42900.0,0
52.0,27700.0,5390.627323891826,654,Bachelor,Employed,51500.0,0
54.0,39700.0,5571.424907667886,677,Bachelor,,81500.0,1
64.0,27300.0,3454.316409411309,521,High School,Retired,43800.0,1
31.0,25000.0,12857.874855893831,688,High School,Self-Employed,29500.0,0
20.0,26300.0,12946.335223687336,639,Bachelor,Self-Employed,30100.0,0
18.0,101700.0,26883.79667931099,582,High School,Employed,153700.0,1
22.0,57700.0,4583.847719247258,496,Bachelor,Employed,93000.0,1
43.0,27200.0,6238.3567522721205,652,High School,Employed,48200.0,0
31.0,,3084.3304016018187,685,High School,Self-Employed,12600.0,1
56.0,14400.0,3926.043254706792,479,High School,Employed,17700.0,1
44.0,49100.0,22984.37584950903,651,Bachelor,Unemployed,60000.0,1
26.0,10200.0,6105.4516721784785,662,High School,Unemployed,9600.0,0
32.0,43300.0,4965.61165790234,594,Master,Employed,80400.0,0
32.0,19200.0,5295.177442478274,687,High School,Employed,33700.0,0
43.0,,9929.869100255739,636,Bachelor,Employed,63900.0,0
59.0,37700.0,6887.621090781268,678,Master,Self-Employed,73700.0,0
30.0,39000.0,4635.435091254776,703,Master,Self-Employed,85300.0,1
68.0,28700.0,1131.2182459519317,703,Master,Self-Employed,68400.0,0
49.0,28100.0,14956.831688391554,751,High School,Employed,34800.0,0
56.0,23600.0,5945.057559238257,683,High School,Employed,42600.0,0
66.0,48500.0,14459.659588351422,602,Bachelor,Self-Employed,72300.0,0
69.0,58900.0,32404.731983420366,585,High School,Employed,54700.0,0
49.0,17500.0,8151.050013917451,543,High School,Self-Employed,17900.0,1
21.0,35200.0,2756.1866981549306,665,Master,Self-Employed,76100.0,0
47.0,40900.0,13875.406005093997,782,Bachelor,Employed,74600.0,0
54.0,40500.0,10746.730319425287,614,Bachelor,Employed,64500.0,1
40.0,40100.0,19180.89840624503,694,Master,Employed,51200.0,0
56.0,28500.0,12384.376564164331,574,Bachelor,Employed,32600.0,0
62.0,42900.0,17771.043281990995,669,Bachelor,,59300.0,0
32.0,52600.0,10747.595007745545,775,Bachelor,Self-Employed,114500.0,0
60.0,39500.0,19077.64041046233,718,High School,Unemployed,51800.0,0
46.0,49200.0,1546.591045960303,492,High School,Self-Employed,82700.0,1
53.0,65800.0,6301.991108541963,707,PhD,Employed,148500.0,1
30.0,12000.0,2416.4875654409643,711,Master,Employed,24000.0,0
49.0,64000.0,2949.4057370604014,667,Master,,143700.0,1
24.0,44600.0,6288.446866828347,716,Bachelor,Employed,96800.0,0
68.0,18600.0,9264.484970256766,566,Master,Self-Employed,18600.0,1
39.0,58800.0,33454.314253234,656,High School,Self-Employed,58700.0,0
45.0,28600.0,5226.9764250851085,761,High School,Employed,62800.0,0
19.0,31000.0,4919.99395419239,751,Bachelor,Employed,69100.0,0
59.0,26800.0,4500.673848122544,704,Bachelor,Employed,55400.0,1
62.0,43500.0,7248.468179857024,561,High School,,71800.0,1
23.0,22700.0,489.36908137295217,545,High School,Employed,42700.0,1
45.0,62400.0,34703.748006636684,661,High School,Retired,64600.0,0
45.0,33400.0,4282.510757069382,668,Bachelor,Employed,68600.0,0
61.0,29200.0,7358.471377906214,639,Bachelor,Retired,49300.0,0
61.0,57100.0,331.87260270555475,569,Bachelor,Employed,114000.0,0
37.0,,15443.19163647103,693,High School,Employed,35600.0,0
,64100.0,28120.31146773611,661,Bachelor,Unemployed,83900.0,0
28.0,65400.0,37150.70682021611,678,Bachelor,Unemployed,67600.0,0
45.0,16300.0,7644.199386540782,709,Bachelor,,21700.0,0
42.0,70700.0,13307.430241248607,622,High School,Self-Employed,126000.0,1
56.0,15100.0,2245.732630079518,601,Bachelor,Unemployed,27300.0,1
50.0,73300.0,30685.563206193823,760,PhD,Employed,114300.0,0
18.0,122600.0,26784.135729772337,574,High School,Employed,194100.0,0
44.0,61400.0,20859.361180326392,603,High School,Unemployed,86300.0,1
69.0,10000.0,37.54482615882137,773,Bachelor,Employed,27200.0,0
30.0,68700.0,2550.9286232691898,595,Bachelor,Employed,138900.0,1
58.0,139800.0,44906.6629063169,640,High School,Self-Employed,214300.0,0
20.0,30300.0,10291.182532427641,608,High School,Employed,42900.0,1
,35600.0,16051.034893651578,471,High School,Employed,32500.0,1
23.0,17800.0,1409.3896135839113,637,PhD,Retired,36800.0,0
25.0,43800.0,13486.451441128145,548,Bachelor,Employed,58600.0,1
44.0,77800.0,9076.816042071223,675,Bachelor,Unemployed,163700.0,0
26.0,55200.0,3086.655479916448,760,Master,Unemployed,139800.0,0
54.0,239200.0,58914.35636357079,428,High School,Employed,272300.0,1
50.0,,3626.0735875770706,609,Master,Employed,71700.0,0
68.0,13700.0,1823.0478607408588,695,Bachelor,Employed,29100.0,0
59.0,40200.0,7659.416466452382,431,High School,Employed,49500.0,1
61.0,8500.0,1322.8808437903008,783,Master,Self-Employed,19800.0,0
41.0,26400.0,1387.446150910191,687,Master,Self-Employed,60600.0,0
32.0,96200.0,5189.965653302016,758,Master,,243500.0,0
49.0,44100.0,5113.379527096089,593,High School,Employed,81600.0,1
49.0,40400.0,1225.5547161392242,605,PhD,Employed,83600.0,0
41.0,108300.0,40707.17713860673,633,PhD,Employed,151000.0,0
58.0,30900.0,5327.037324075042,850,High School,Employed,76700.0,0
69.0,77400.0,12991.402743195657,781,High School,Employed,177500.0,0
66.0,39200.0,7808.599880472236,663,High School,Self-Employed,73500.0,0
66.0,45600.0,18134.106062377985,675,PhD,Employed,65400.0,0
69.0,17500.0,9141.65575557665,713,Bachelor,Employed,21000.0,0
29.0,27200.0,12388.298739308018,850,High School,Self-Employed,44400.0,0
56.0,,6853.325348720394,688,High School,Employed,21500.0,0
19.0,34300.0,9968.770599665479,654,High School,,56200.0,0
20.0,45900.0,19107.40503888252,616,Bachelor,Employed,58300.0,0
66.0,18700.0,6201.993769336803,673,Bachelor,,29700.0,0
54.0,124200.0,16114.989360460131,591,PhD,Employed,225500.0,1
66.0,42900.0,5369.064585654645,699,Bachelor,Retired,92600.0,0
34.0,37600.0,6686.603675106395,506,Bachelor,Employed,55200.0,1
66.0,57600.0,31477.340308716746,623,High School,Retired,57400.0,0
19.0,22100.0,7258.720783435165,723,High School,Employed,37900.0,0
19.0,40100.0,17657.76337066498,686,Bachelor,Employed,54300.0,0
45.0,23600.0,4907.272039002314,603,High School,Employed,39800.0,0
40.0,92500.0,22628.22527192,626,High School,Employed,154400.0,1
54.0,19200.0,1446.5154659011357,753,PhD,Employed,47200.0,0
49.0,37700.0,3874.6919459261835,528,Bachelor,Employed,63000.0,1
50.0,,21941.49583398938,529,High School,Employed,41600.0,1
18.0,,16141.546234613144,557,High School,Employed,58700.0,1
36.0,25600.0,5184.498675975458,648,High School,Employed,46700.0,0
19.0,21200.0,10212.267378423345,514,PhD,Employed,19900.0,1
61.0,25800.0,3816.1281392759765,745,High School,Employed,57800.0,0
43.0,49900.0,29222.418996090102,557,High School,Self-Employed,40600.0,1
49.0,33300.0,6889.4558027684725,672,Bachelor,Unemployed,62600.0,0
23.0,58600.0,11859.853147957161,592,High School,Employed,97700.0,1
49.0,48300.0,9039.207022453716,643,High School,Employed,89100.0,1
21.0,9300.0,681.3822588575266,489,High School,Employed,14900.0,1
28.0,42100.0,2807.324341606633,750,High School,Unemployed,104000.0,0
34.0,140100.0,54479.70920293841,553,High School,Employed,167100.0,0
55.0,80400.0,42215.694469480186,543,High School,,73200.0,0
41.0,46800.0,22197.81592842859,850,Master,,73800.0,0
22.0,19200.0,1625.5594831259646,705,High School,Employed,43700.0,0
69.0,48400.0,15843.70481684161,746,Bachelor,Employed,85700.0,0
51.0,56600.0,3585.8889013666944,695,Bachelor,Employed,130000.0,0
23.0,31200.0,847.9157284368098,604,Bachelor,Unemployed,64700.0,1
39.0,,17289.203536194767,519,High School,,48700.0,1
28.0,89800.0,28834.007738697277,620,High School,,133400.0,0
65.0,21700.0,1067.9483814533505,552,Bachelor,Employed,40200.0,1
33.0,19200.0,402.50011859698685,558,Bachelor,Self-Employed,37000.0,1
50.0,55000.0,32661.96164250804,491,Bachelor,Employed,38700.0,1
26.0,47800.0,861.0118060353814,661,High School,Employed,109500.0,0
23.0,67300.0,17950.050858165443,807,Master,Employed,140600.0,0
33.0,51100.0,15471.619294471946,705,High School,,88700.0,0
46.0,25800.0,1815.496687950889,639,High School,Self-Employed,54100.0,0
20.0,47100.0,4777.685858706382,645,Bachelor,Employed,96300.0,0
37.0,18300.0,3862.8189703856706,345,High School,,17600.0,1
53.0,31300.0,14304.272955292583,607,Bachelor,,36400.0,0
36.0,49100.0,14938.648212815457,507,Bachelor,,61100.0,1
43.0,29300.0,11214.314954641064,663,Master,Employed,42300.0,0
20.0,159700.0,94399.42586878844,624,Master,Employed,143800.0,1
36.0,11700.0,5391.398155898732,563,Bachelor,Retired,12500.0,1
37.0,26100.0,6802.1010608914685,661,Bachelor,Employed,45000.0,0
49.0,20700.0,5544.808668713135,660,High School,Retired,35300.0,0
,23900.0,8873.191584768012,801,Bachelor,Employed,42500.0,0
69.0,24700.0,9860.712388768163,718,High School,Employed,37600.0,0
58.0,16400.0,4926.995510232845,671,High School,Self-Employed,27200.0,1
50.0,57000.0,22054.25382027231,555,High School,Unemployed,68500.0,1
57.0,26200.0,369.9308121896326,542,Bachelor,,49400.0,1
56.0,40100.0,10336.72610535807,709,Bachelor,Retired,74500.0,0
35.0,28000.0,4686.159678034409,629,Master,Employed,51800.0,0
57.0,24000.0,1860.1120115007895,674,High School,Unemployed,52700.0,0
18.0,99000.0,5913.062860841243,747,PhD,Employed,245400.0,0
28.0,63200.0,22873.04692010819,498,Bachelor,Employed,70900.0,1
45.0,11800.0,3707.091873840491,789,Bachelor,,22500.0,0
42.0,11100.0,1688.8702191958187,746,Bachelor,Retired,24800.0,0
67.0,67900.0,19186.505394392243,444,High School,,76300.0,1
40.0,26600.0,7856.027750311236,850,Master,Employed,56200.0,0
48.0,13500.0,1579.5727415527879,682,Bachelor,Employed,28700.0,0
47.0,68000.0,26605.396924771347,602,PhD,,88000.0,0
59.0,40200.0,18835.7748760325,701,Bachelor,Employed,52900.0,0
52.0,42200.0,20039.85685532262,552,Master,,43200.0,1
24.0,59000.0,21327.43200690231,704,Bachelor,Employed,93600.0,1
33.0,,5065.221966938239,570,High School,Self-Employed,23000.0,1
43.0,13600.0,497.81828692402235,850,High School,,39300.0,0
65.0,,16199.145499368376,656,Bachelor,Employed,179700.0,1
69.0,15300.0,856.2318814235996,714,Bachelor,Employed,36400.0,0
66.0,,10062.313799571264,571,High School,Self-Employed,14800.0,1
19.0,19700.0,1596.6473283884916,731,Master,Employed,46700.0,0
18.0,126500.0,11519.753607698645,648,Bachelor,Employed,263000.0,0
65.0,48800.0,26046.803384716808,508,PhD,Self-Employed,40800.0,1
29.0,64800.0,36699.93166156468,626,Master,Unemployed,62100.0,1
22.0,40900.0,18793.44462282469,843,Bachelor,Self-Employed,65800.0,0
54.0,25300.0,82.04674135112863,735,Master,Retired,65400.0,0
49.0,53000.0,42.811416418725656,612,Bachelor,Self-Employed,114400.0,1
26.0,14300.0,3244.1046047763275,463,Master,Self-Employed,18100.0,1
58.0,18800.0,1617.4997737228678,566,High School,Employed,34300.0,1
,56400.0,622.187050410052,509,High School,Employed,100200.0,0
36.0,16100.0,4482.884219647515,465,Bachelor,Employed,19100.0,1
65.0,32400.0,18333.123285591526,728,Bachelor,Employed,36100.0,0
33.0,33300.0,6469.915106550579,656,Bachelor,Employed,62100.0,1
20.0,26400.0,10472.468346310552,829,Bachelor,Employed,46600.0,0
37.0,11300.0,4422.1556942379475,550,High School,,13400.0,1
41.0,24900.0,3751.1367487576063,649,Master,Employed,48400.0,1
50.0,22100.0,8624.638799404442,510,Bachelor,Employed,24300.0,1
41.0,40000.0,5096.015382885391,590,Bachelor,Retired,72700.0,0
69.0,38800.0,2840.332588069977,627,Bachelor,Employed,79600.0,0
28.0,45600.0,19189.84669291312,612,Bachelor,Employed,57000.0,1
66.0,24200.0,1647.1606643488708,655,PhD,Employed,52100.0,1
25.0,49700.0,29727.83289833457,747,Bachelor,Unemployed,52700.0,1
,14300.0,1574.0216018689675,736,High School,Employed,33100.0,0
55.0,12200.0,4349.11843537727,573,Bachelor,Self-Employed,15900.0,0
57.0,8900.0,2196.740211343227,646,Bachelor,Employed,15300.0,0
37.0,26900.0,2039.8768576274672,729,Master,Employed,64000.0,0
52.0,23100.0,385.9165590229497,753,High School,Employed,60400.0,0
65.0,58300.0,21783.17523460331,583,PhD,Self-Employed,75100.0,1
42.0,24600.0,11907.741641527502,720,Bachelor,Unemployed,32300.0,0
52.0,42800.0,21622.962187493187,683,PhD,Self-Employed,51000.0,0
42.0,59200.0,17145.982563692713,543,High School,,80600.0,0
46.0,24100.0,11242.006055457294,730,Master,Employed,33100.0,0
35.0,43400.0,17520.939356041705,665,Master,Self-Employed,60700.0,0
63.0,66200.0,28767.38983226557,475,PhD,Employed,62800.0,0
35.0,17300.0,5113.177674202429,620,High School,Self-Employed,26700.0,1
19.0,36900.0,14023.735928960694,653,High School,Employed,52700.0,0
52.0,24100.0,11647.904710309784,589,Bachelor,Employed,25900.0,1
33.0,17900.0,4273.276045482427,772,High School,Employed,37100.0,0
58.0,14400.0,6963.657703495923,776,High School,Employed,20400.0,0
53.0,17800.0,6322.739880987191,611,High School,Employed,24800.0,0
50.0,37600.0,3742.7271098049373,600,Bachelor,Self-Employed,71700.0,0
21.0,13800.0,204.38482181956059,636,Bachelor,Employed,30500.0,0
50.0,26100.0,5680.721382250721,629,High School,Employed,45300.0,0
31.0,59200.0,19418.653581085993,590,High School,,82800.0,0
38.0,47500.0,23934.88003779942,300,Bachelor,Employed,25000.0,1
65.0,26400.0,2019.3731734214996,825,Bachelor,Self-Employed,71000.0,0
37.0,100100.0,48060.39324187576,650,High School,Employed,119400.0,0
25.0,113100.0,58563.79386612201,632,High School,Retired,121600.0,1
24.0,36900.0,3336.22096219846,682,Master,,80800.0,0
20.0,8300.0,4240.9397101350105,641,PhD,Employed,9200.0,1
34.0,61800.0,36763.098295610725,606,PhD,Employed,53500.0,1
50.0,9200.0,4012.1503473862713,549,Master,Employed,10100.0,0
65.0,88100.0,41482.92538126886,466,High School,Retired,76700.0,1
29.0,69600.0,41526.78157325855,514,Bachelor,Employed,50900.0,1
68.0,105300.0,38254.30540822923,538,Bachelor,Employed,127300.0,0
39.0,42500.0,7851.10274141436,715,Bachelor,Employed,87400.0,0
39.0,29200.0,14673.540213012495,722,High School,Unemployed,37000.0,0
63.0,27700.0,10212.753622243312,561,Bachelor,Employed,34600.0,1
47.0,26200.0,9136.392060893437,383,Bachelor,Retired,23100.0,1
55.0,65400.0,9952.659198370862,650,High School,Employed,127200.0,1
55.0,55700.0,25276.69128946007,607,Bachelor,Employed,65200.0,0
62.0,39000.0,1911.0142551262522,605,High School,Employed,79200.0,0
68.0,23500.0,13032.447698204722,745,High School,Unemployed,27500.0,0
25.0,175900.0,34387.408049716956,663,High School,Unemployed,331100.0,1
44.0,62800.0,4814.54891712684,552,High School,,113000.0,1
44.0,13900.0,3689.3368860741725,529,High School,Employed,19100.0,1
51.0,26600.0,677.8197517342691,623,Master,Self-Employed,57000.0,0
38.0,,26084.258001495215,559,Bachelor,Employed,73800.0,1
47.0,22500.0,12186.524391012308,642,Bachelor,Employed,23400.0,0
50.0,44800.0,22505.629631883116,752,High School,Employed,59200.0,0
45.0,64200.0,4906.272117212378,512,Bachelor,Employed,107100.0,1
64.0,4800.0,363.6608748702678,658,Bachelor,Employed,10300.0,1
50.0,34000.0,16594.063439414986,741,Bachelor,,45500.0,0
22.0,34800.0,19298.42925371306,641,Bachelor,Employed,35100.0,0
65.0,28400.0,7849.813900362654,722,Master,Unemployed,52400.0,0
36.0,,13023.14615144929,621,Master,Employed,66800.0,0
21.0,53900.0,10292.594418414375,667,Bachelor,Self-Employed,102700.0,1
52.0,39500.0,21194.08330267701,694,High School,Employed,44800.0,0
66.0,29000.0,11221.310552086994,592,Bachelor,Self-Employed,37100.0,1
34.0,53100.0,9183.69524855236,849,Bachelor,Employed,131600.0,0
61.0,37400.0,6704.687626457406,707,Bachelor,Self-Employed,76600.0,0
45.0,31600.0,16897.1533852859,780,Master,Employed,40500.0,0
47.0,16500.0,134.97683666763254,757,Bachelor,Unemployed,43700.0,1
46.0,14200.0,2749.6303996309593,682,Master,Employed,27600.0,0
63.0,16300.0,5421.608342296089,788,High School,Employed,30300.0,0
23.0,42900.0,3815.117474436616,668,High School,Retired,92100.0,1
52.0,34600.0,1911.970137183484,577,High School,Employed,66600.0,1
58.0,14900.0,7288.570399949605,651,Master,Employed,17500.0,1
54.0,53500.0,28710.38087561708,549,Master,Retired,48000.0,0
41.0,82800.0,40916.76698525405,439,Bachelor,Employed,64900.0,1
46.0,25400.0,13697.527439597177,564,Bachelor,Employed,23300.0,1
66.0,12800.0,4247.8999377282935,657,Bachelor,Retired,19800.0,1
63.0,23700.0,11550.310480482662,756,Master,Employed,32400.0,1
48.0,60600.0,13963.79033190041,564,Master,Unemployed,92800.0,1
52.0,50500.0,20187.916202814868,751,Bachelor,Employed,80300.0,0
50.0,20900.0,12399.997563620122,528,Bachelor,Self-Employed,15800.0,1
69.0,90500.0,12257.015404464617,558,High School,Employed,154100.0,1
38.0,81500.0,19066.09759363384,794,Bachelor,Retired,175000.0,0
49.0,23400.0,6739.865177433602,654,Bachelor,Employed,38500.0,1
40.0,23200.0,1921.17557931912,632,High School,Employed,47500.0,0
50.0,25400.0,1235.0284234874653,673,Master,Self-Employed,57400.0,0
20.0,26800.0,13341.94369045172,529,Bachelor,Employed,25100.0,1
35.0,,37626.119241318615,616,PhD,Self-Employed,57800.0,0
42.0,46900.0,11388.963296166594,650,High School,Unemployed,81500.0,0
59.0,61500.0,3234.2789555827057,773,Bachelor,Employed,159000.0,0
48.0,54400.0,2148.0958689404165,482,Bachelor,Self-Employed,88900.0,1
20.0,101600.0,54334.75785972381,826,High School,Employed,137800.0,0
57.0,19200.0,5343.140156862873,637,Bachelor,Employed,31200.0,1
63.0,45600.0,8755.947381147042,538,High School,,70000.0,1
